path,label,split,dataset,source_split,source_id,width,height,sha256
data/raw/authentic/7596d64f5f919ec88abed8f48cb28762670bcd7d5195aeb70316ce044020951a.jpg,0,train,saberzl/SID_Set,train,0000a1229c025d92,768,1024,7596d64f5f919ec88abed8f48cb28762670bcd7d5195aeb70316ce044020951a
data/raw/authentic/138d93372193efa75d4a8765bde7e72a8de59e725db532ae6b7029f120d7a6a7.jpg,0,train,saberzl/SID_Set,train,0001f65de725a864,1024,1024,138d93372193efa75d4a8765bde7e72a8de59e725db532ae6b7029f120d7a6a7
data/raw/authentic/37efd4b77103edee04e45a24171efd93287edeaf794f9f9e9e7b3244f7524ca8.jpg,0,train,saberzl/SID_Set,train,00087d352416576a,1024,768,37efd4b77103edee04e45a24171efd93287edeaf794f9f9e9e7b3244f7524ca8
data/raw/authentic/50a887d662a88555188fb8a060e6e6d3b33ff207b4c40349dcf2279f2f36bb33.jpg,0,train,saberzl/SID_Set,train,0012d3c715ad1617,1024,681,50a887d662a88555188fb8a060e6e6d3b33ff207b4c40349dcf2279f2f36bb33
data/raw/authentic/aa0855760f82bf0a0d6345ca51572945d8b95d2f882397696ffe1c8b8d79b91a.jpg,0,train,saberzl/SID_Set,train,00157e47ff77b7f2,1024,768,aa0855760f82bf0a0d6345ca51572945d8b95d2f882397696ffe1c8b8d79b91a
data/raw/authentic/fcedba4332c86b54379477005d034df01864e90de27a31375dc7115846b3a956.jpg,0,train,saberzl/SID_Set,train,001a783046ffd7ff,1024,511,fcedba4332c86b54379477005d034df01864e90de27a31375dc7115846b3a956
data/raw/authentic/b8080724af7aa302cccfb247649adf449776728bbd10121868263bd99bab00e6.jpg,0,train,saberzl/SID_Set,train,001b4f6d9aedff6f,681,1024,b8080724af7aa302cccfb247649adf449776728bbd10121868263bd99bab00e6
data/raw/authentic/aad166ce2739cb2310f33f22d83cea3f27a7178e2ad7357389012178285caa38.jpg,0,train,saberzl/SID_Set,train,0026116dbede0a32,1024,768,aad166ce2739cb2310f33f22d83cea3f27a7178e2ad7357389012178285caa38
data/raw/authentic/4f3ff0cf4f605f6b9f7fc4665cc5e447f19d01691c1584f7ce8a766da9695f10.jpg,0,train,saberzl/SID_Set,train,0030a581819d8d74,1024,683,4f3ff0cf4f605f6b9f7fc4665cc5e447f19d01691c1584f7ce8a766da9695f10
data/raw/authentic/c4b73292bfed521bb0e6c4642443d5109fe0c513bd07e36fa5ef15a5a5c6519c.jpg,0,train,saberzl/SID_Set,train,0036101f23dee900,1024,576,c4b73292bfed521bb0e6c4642443d5109fe0c513bd07e36fa5ef15a5a5c6519c
data/raw/authentic/6455824ecfc2ddaeadfe3555f259229c4a46700dcb2a79738a8002438f6291a5.jpg,0,train,saberzl/SID_Set,train,003ba914b8dc5845,1024,1024,6455824ecfc2ddaeadfe3555f259229c4a46700dcb2a79738a8002438f6291a5
data/raw/authentic/7549d1e937342f418e1ff2e2359634a8bd49030b1c04d45a7fa82fd039d13bee.jpg,0,train,saberzl/SID_Set,train,0055f7e5bac0c8e1,683,1024,7549d1e937342f418e1ff2e2359634a8bd49030b1c04d45a7fa82fd039d13bee
data/raw/authentic/ccc57d861236e1b7057b10b6d711cfdb884c4ef72cc71bdf29da72cb453307db.jpg,0,train,saberzl/SID_Set,train,00579bcd56d81317,1024,1024,ccc57d861236e1b7057b10b6d711cfdb884c4ef72cc71bdf29da72cb453307db
data/raw/authentic/c0f3daf68dff2bd6a82cc9a2954243b88d5badd49000d5cfadb84c11b27eb725.jpg,0,train,saberzl/SID_Set,train,006b27554ee38194,1024,681,c0f3daf68dff2bd6a82cc9a2954243b88d5badd49000d5cfadb84c11b27eb725
data/raw/authentic/94f63181b2f4b926b11f1d9d7ab1da9305aae423675d2ec9dc0bf10538deb14d.jpg,0,train,saberzl/SID_Set,train,007257a1717edac7,1024,682,94f63181b2f4b926b11f1d9d7ab1da9305aae423675d2ec9dc0bf10538deb14d
data/raw/authentic/413fbcaa112df5e233d7ce3e8b03f26664101236953d93dbd250f9b8398e8a8e.jpg,0,train,saberzl/SID_Set,train,0079b0814c745354,1024,768,413fbcaa112df5e233d7ce3e8b03f26664101236953d93dbd250f9b8398e8a8e
data/raw/authentic/51a7ea991f2386541fed25af09ae05f59aa113e4f49e7203ecd5fd3e0b88a978.jpg,0,train,saberzl/SID_Set,train,00861f99f6e306bb,1024,754,51a7ea991f2386541fed25af09ae05f59aa113e4f49e7203ecd5fd3e0b88a978
data/raw/authentic/f6be5c8ab032c9221e59bc49c63aaa8a30a5c56b7ab0e3f9510eebb6d2c13f2b.jpg,0,train,saberzl/SID_Set,train,008eb1db3d98439e,1024,640,f6be5c8ab032c9221e59bc49c63aaa8a30a5c56b7ab0e3f9510eebb6d2c13f2b
data/raw/authentic/21f78b945af9076cf2cd227c1fca658ad513ca0facb07ef57f3e83d9417d5e6e.jpg,0,train,saberzl/SID_Set,train,009afead12387135,1024,768,21f78b945af9076cf2cd227c1fca658ad513ca0facb07ef57f3e83d9417d5e6e
data/raw/authentic/cdf17fce82ca7e55ca72417452fa7b9c274bdda9516e5abc3d3497a0d6636af2.jpg,0,train,saberzl/SID_Set,train,00aa85aa816f3acb,1024,683,cdf17fce82ca7e55ca72417452fa7b9c274bdda9516e5abc3d3497a0d6636af2
data/raw/authentic/358d3afe739d91bf30dc05623e4266206b59399d34da7f3b3b67ba08be22195a.jpg,0,train,saberzl/SID_Set,train,00ac8697a36e875a,1024,681,358d3afe739d91bf30dc05623e4266206b59399d34da7f3b3b67ba08be22195a
data/raw/authentic/bdc008069772a3c8ac0d9440cdf2ab354b4ef802393aeb75a9c937e9ab2fd7bb.jpg,0,train,saberzl/SID_Set,train,00af061faf166057,1024,685,bdc008069772a3c8ac0d9440cdf2ab354b4ef802393aeb75a9c937e9ab2fd7bb
data/raw/authentic/9f808f4101adfde1a271dcaf784760f31a1eca3eb9f0ca56af0a2b3ac4dd0863.jpg,0,train,saberzl/SID_Set,train,00cc2f6942fb39d2,1024,680,9f808f4101adfde1a271dcaf784760f31a1eca3eb9f0ca56af0a2b3ac4dd0863
data/raw/authentic/6ba61459aab5cc1a3fb8eca1c07242b15d3c74877c331c0ec99a21620fcd7ffb.jpg,0,train,saberzl/SID_Set,train,00d15a841fc315b9,1024,768,6ba61459aab5cc1a3fb8eca1c07242b15d3c74877c331c0ec99a21620fcd7ffb
